300 300
1 203 79
1 204 64
1 205 65
1 206 68
1 207 20
1 208 86
1 209 62
1 210 86
1 211 66
1 212 34
1 213 50
1 214 87
1 215 6
1 216 75
1 217 64
1 218 65
1 219 91
1 220 31
1 221 74
1 222 58
1 223 3
1 224 13
1 225 46
1 226 62
1 227 57
1 228 5
1 229 14
1 230 59
1 231 46
1 232 69
1 233 22
1 234 50
1 235 41
1 236 97
1 237 16
1 238 74
1 239 92
1 240 21
1 241 15
1 242 43
1 243 79
1 244 20
1 245 79
1 246 69
1 247 32
1 248 81
1 249 53
1 250 86
1 251 76
1 252 86
1 253 10
1 254 28
1 255 54
1 256 92
1 257 79
1 258 4
1 259 46
1 260 18
1 261 49
1 262 88
1 263 86
1 264 53
1 265 68
1 266 16
1 267 85
1 268 52
1 269 25
1 270 81
1 271 26
1 272 38
1 273 64
1 274 54
1 275 33
1 276 1
1 277 94
1 278 77
1 279 58
1 280 60
1 281 88
1 282 4
1 283 94
1 284 20
1 285 52
1 286 66
1 287 15
1 288 70
1 289 25
1 290 48
1 291 63
1 292 46
1 293 42
1 294 82
1 295 44
1 296 41
1 297 40
1 298 79
1 299 9
2 0 68
2 1 2
2 2 96
2 3 79
2 4 49
2 5 12
2 6 15
2 7 49
2 8 27
2 9 45
2 10 0
2 11 25
2 12 94
2 13 81
2 14 37
2 15 80
2 16 79
2 17 65
2 18 58
2 19 71
2 20 90
2 21 91
2 22 80
2 23 9
2 24 61
2 25 34
2 26 39
2 27 1
2 28 74
2 29 96
2 30 91
2 31 3
2 32 66
2 33 11
2 34 79
2 35 51
2 36 33
2 37 14
2 38 71
2 39 5
2 40 98
2 41 13
2 42 98
2 43 23
2 44 42
2 45 43
2 46 49
2 47 48
2 48 98
2 49 90
2 50 74
2 51 14
2 52 31
2 53 53
2 54 27
2 55 71
2 56 87
2 57 61
2 58 33
2 59 16
2 60 34
2 61 49
2 62 59
2 63 71
2 64 47
2 65 79
2 66 52
2 67 90
2 68 35
2 69 54
2 70 92
2 71 97
2 72 47
2 73 63
2 74 78
2 75 38
2 76 89
2 77 17
2 78 9
2 79 84
2 80 82
2 81 4
2 82 26
2 83 55
2 84 34
2 85 87
2 86 37
2 87 40
2 88 30
2 89 15
2 90 73
2 91 59
2 92 85
2 93 10
2 94 6
2 95 32
2 96 19
2 97 61
2 98 64
2 99 72
2 100 71
2 101 50
2 102 16
2 103 90
2 104 67
2 105 39
2 106 95
2 107 77
2 108 87
2 109 26
2 110 12
2 111 50
2 112 41
2 113 96
2 114 92
2 115 83
2 116 86
2 117 51
2 118 83
2 119 27
2 120 14
2 121 2
2 122 46
2 123 13
2 124 68
2 125 11
2 126 36
2 127 8
2 128 79
2 129 53
2 130 31
2 131 53
2 132 68
2 133 3
2 134 25
2 135 38
2 136 28
2 137 72
2 138 74
2 139 43
2 140 54
2 141 75
2 142 20
2 143 65
2 144 42
2 145 21
2 146 9
2 147 47
2 148 94
2 149 65
2 150 53
2 151 85
2 152 12
2 153 69
2 154 38
2 155 67
2 156 3
2 157 32
2 158 71
2 159 72
2 160 57
2 161 27
2 162 4
2 163 31
2 164 56
2 165 90
2 166 9
2 167 45
2 168 31
2 169 32
2 170 63
2 171 86
2 172 69
2 173 93
2 174 29
2 175 98
2 176 22
2 177 24
2 178 34
2 179 57
2 180 15
2 181 48
2 182 31
2 183 43
2 184 55
2 185 0
2 186 46
2 187 77
2 188 72
2 189 80
2 190 98
2 191 18
2 192 22
2 193 34
2 194 61
2 195 53
2 196 14
2 197 40
2 198 58
2 199 15
2 200 32
2 201 44
2 202 48
2 203 42
2 204 98
2 205 45
2 206 22
2 207 1
2 208 20
2 209 37
2 210 71
2 211 20
2 212 59
2 213 47
2 214 57
2 215 71
2 216 31
2 217 78
2 218 75
2 219 72
2 220 55
2 221 84
2 222 4
2 223 58
2 224 44
2 225 78
2 226 19
2 227 1
2 228 83
2 229 30
2 230 90
2 231 24
2 232 46
2 233 88
2 234 63
2 235 83
2 236 20
2 237 79
2 238 31
2 239 25
2 240 1
2 241 96
2 242 42
2 243 72
2 244 94
2 245 97
2 246 45
2 247 12
2 248 39
2 249 35
2 250 31
2 251 21
2 252 89
2 253 67
2 254 54
2 255 48
2 256 51
2 257 12
2 258 69
2 259 10
2 260 10
2 261 35
2 262 24
2 263 27
2 264 61
2 265 58
2 266 35
2 267 11
2 268 77
2 269 1
2 270 55
2 271 50
2 272 30
2 273 84
2 274 17
2 275 8
2 276 56
2 277 17
2 278 70
2 279 17
2 280 75
2 281 75
2 282 46
2 283 63
2 284 95
2 285 52
2 286 12
2 287 17
2 288 96
2 289 72
2 290 6
2 291 9
2 292 48
2 293 66
2 294 22
2 295 33
2 296 73
2 297 52
2 298 51
2 299 81
3 0 50
3 1 35
3 2 41
3 3 86
3 4 8
3 5 40
3 6 21
3 7 98
3 8 12
3 9 49
3 10 89
3 11 52
3 12 85
3 13 14
3 14 34
3 15 45
3 16 30
3 17 87
3 18 52
3 19 11
3 20 46
3 21 3
3 22 26
3 23 37
3 24 80
3 25 56
3 26 61
3 27 23
3 28 91
3 29 76
3 30 36
3 31 22
3 32 85
3 33 70
3 34 58
3 35 86
3 36 97
3 37 6
3 38 36
3 39 2
3 40 52
3 41 81
3 42 8
3 43 63
3 44 4
3 45 88
3 46 96
3 47 64
3 48 73
3 49 89
3 50 91
3 51 31
3 52 21
3 53 82
3 54 14
3 55 65
3 56 8
3 57 75
3 58 37
3 59 86
3 60 53
3 61 3
3 62 4
3 63 46
3 64 23
3 65 51
3 66 98
3 67 37
3 68 86
3 69 33
3 70 85
3 71 55
3 72 18
3 73 78
3 74 42
3 75 53
3 76 71
3 77 5
3 78 17
3 79 85
3 80 9
3 81 90
3 82 65
3 83 26
3 84 1
3 85 83
3 86 73
3 87 28
3 88 82
3 89 87
3 90 36
3 91 58
3 92 56
3 93 9
3 94 98
3 95 93
3 96 86
3 97 91
3 98 21
3 99 63
3 100 45
3 101 25
3 102 77
3 103 98
3 104 50
3 105 23
3 106 82
3 107 94
3 108 89
3 109 77
3 110 44
3 111 91
3 112 43
3 113 3
3 114 90
3 115 74
3 116 97
3 117 88
3 118 45
3 119 65
3 120 34
3 121 77
3 122 64
3 123 96
3 124 78
3 125 34
3 126 8
3 127 72
3 128 82
3 129 69
3 130 73
3 131 20
3 132 59
3 133 34
3 134 85
3 135 10
3 136 72
3 137 16
3 138 98
3 139 20
3 140 49
3 141 75
3 142 32
3 143 62
3 144 16
3 145 8
3 146 31
3 147 3
3 148 59
3 149 12
3 150 53
3 151 82
3 152 68
3 153 31
3 154 50
3 155 66
3 156 2
3 157 87
3 158 43
3 159 18
3 160 0
3 161 24
3 162 39
3 163 62
3 164 27
3 165 64
3 166 37
3 167 95
3 168 72
3 169 32
3 170 21
3 171 49
3 172 86
3 173 73
3 174 91
3 175 97
3 176 81
3 177 46
3 178 15
3 179 19
3 180 15
3 181 5
3 182 88
3 183 56
3 184 63
3 185 41
3 186 24
3 187 98
3 188 58
3 189 79
3 190 17
3 191 50
3 192 13
3 193 22
3 194 54
3 195 38
3 196 48
3 197 56
3 198 12
3 199 97
3 200 66
3 201 6
3 202 71
3 203 77
3 204 61
3 205 26
3 206 7
3 207 21
3 208 43
3 209 47
3 210 19
3 211 18
3 212 12
3 213 0
3 214 94
3 215 29
3 216 56
3 217 7
3 218 26
3 219 56
3 220 37
3 221 85
3 222 53
3 223 0
3 224 94
3 225 10
3 226 24
3 227 73
3 228 20
3 229 39
3 230 16
3 231 46
3 232 89
3 233 85
3 234 80
3 235 31
3 236 3
3 237 34
3 238 92
3 239 75
3 240 1
3 241 62
3 242 56
3 243 21
3 244 11
3 245 6
3 246 40
3 247 15
3 248 22
3 249 14
3 250 98
3 251 64
3 252 82
3 253 80
3 254 42
3 255 43
3 256 93
3 257 56
3 258 44
3 259 88
3 260 61
3 261 68
3 262 70
3 263 44
3 264 25
3 265 24
3 266 34
3 267 25
3 268 27
3 269 15
3 270 45
3 271 74
3 272 90
3 273 3
3 274 13
3 275 11
3 276 30
3 277 85
3 278 24
3 279 67
3 280 65
3 281 81
3 282 44
3 283 84
3 284 71
3 285 5
3 286 28
3 287 44
3 288 4
3 289 0
3 290 81
3 291 4
3 292 68
3 293 62
3 294 92
3 295 67
3 296 61
3 297 90
3 298 72
3 299 15
4 0 37
4 1 42
4 2 54
4 3 96
4 4 69
4 5 51
4 6 79
4 7 98
4 8 49
4 9 3
4 10 44
4 11 91
4 12 33
4 13 79
4 14 2
4 15 89
4 16 63
4 17 9
4 18 38
4 19 2
4 20 17
4 21 21
4 22 40
4 23 96
4 24 13
4 25 49
4 26 69
4 27 37
4 28 25
4 29 2
4 30 73
4 31 72
4 32 65
4 33 82
4 34 97
4 35 78
4 36 64
4 37 57
4 38 18
4 39 31
4 40 25
4 41 55
4 42 16
4 43 83
4 44 60
4 45 44
4 46 87
4 47 22
4 48 86
4 49 80
4 50 49
4 51 53
4 52 20
4 53 20
4 54 55
4 55 9
4 56 92
4 57 73
4 58 34
4 59 85
4 60 0
4 61 20
4 62 88
4 63 92
4 64 65
4 65 17
4 66 24
4 67 71
4 68 55
4 69 15
4 70 52
4 71 20
4 72 56
4 73 80
4 74 25
4 75 59
4 76 15
4 77 14
4 78 82
4 79 74
4 80 82
4 81 33
4 82 21
4 83 81
4 84 36
4 85 61
4 86 17
4 87 17
4 88 34
4 89 54
4 90 70
4 91 57
4 92 50
4 93 93
4 94 69
4 95 48
4 96 25
4 97 84
4 98 77
4 99 61
4 100 92
4 101 98
4 102 5
4 103 46
4 104 68
4 105 41
4 106 55
4 107 62
4 108 35
4 109 43
4 110 46
4 111 92
4 112 3
4 113 3
4 114 54
4 115 50
4 116 0
4 117 31
4 118 39
4 119 96
4 120 1
4 121 12
4 122 46
4 123 28
4 124 90
4 125 21
4 126 70
4 127 46
4 128 13
4 129 62
4 130 57
4 131 90
4 132 22
4 133 12
4 134 8
4 135 41
4 136 93
4 137 31
4 138 54
4 139 90
4 140 71
4 141 76
4 142 13
4 143 81
4 144 54
4 145 26
4 146 48
4 147 18
4 148 51
4 149 68
4 150 87
4 151 85
4 152 98
4 153 34
4 154 38
4 155 89
4 156 49
4 157 90
4 158 15
4 159 33
4 160 11
4 161 19
4 162 53
4 163 9
4 164 3
4 165 74
4 166 72
4 167 97
4 168 15
4 169 78
4 170 38
4 171 75
4 172 38
4 173 71
4 174 59
4 175 57
4 176 4
4 177 2
4 178 78
4 179 15
4 180 44
4 181 85
4 182 69
4 183 43
4 184 13
4 185 15
4 186 13
4 187 66
4 188 79
4 189 60
4 190 62
4 191 50
4 192 10
4 193 11
4 194 22
4 195 78
4 196 0
4 197 17
4 198 77
4 199 74
4 200 26
4 201 13
4 202 44
4 203 21
4 204 83
4 205 90
4 206 41
4 207 45
4 208 90
4 209 12
4 210 54
4 211 33
4 212 12
4 213 93
4 214 82
4 215 34
4 216 72
4 217 78
4 218 70
4 219 29
4 220 4
4 221 61
4 222 53
4 223 46
4 224 23
4 225 28
4 226 50
4 227 25
4 228 25
4 229 51
4 230 10
4 231 43
4 232 62
4 233 52
4 234 87
4 235 5
4 236 67
4 237 64
4 238 39
4 239 36
4 240 49
4 241 2
4 242 53
4 243 21
4 244 68
4 245 63
4 246 4
4 247 28
4 248 94
4 249 25
4 250 14
4 251 30
4 252 7
4 253 42
4 254 22
4 255 30
4 256 76
4 257 33
4 258 37
4 259 25
4 260 98
4 261 56
4 262 2
4 263 16
4 264 94
4 265 34
4 266 34
4 267 96
4 268 25
4 269 13
4 270 11
4 271 42
4 272 8
4 273 5
4 274 88
4 275 93
4 276 60
4 277 18
4 278 9
4 279 79
4 280 42
4 281 24
4 282 26
4 283 87
4 284 95
4 285 15
4 286 17
4 287 90
4 288 73
4 289 40
4 290 65
4 291 22
4 292 31
4 293 89
4 294 92
4 295 61
4 296 88
4 297 89
4 298 97
4 299 37
5 0 57
5 1 8
5 2 66
5 3 60
5 4 20
5 5 9
5 6 46
5 7 88
5 8 38
5 9 64
5 10 11
5 11 5
5 12 78
5 13 34
5 14 1
5 15 0
5 16 71
5 17 40
5 18 38
5 19 57
5 20 63
5 21 34
5 22 56
5 23 69
5 24 19
5 25 97
5 26 44
5 27 97
5 28 71
5 29 97
5 30 44
5 31 51
5 32 96
5 33 8
5 34 13
5 35 97
5 36 19
5 37 92
5 38 41
5 39 38
5 40 30
5 41 66
5 42 66
5 43 95
5 44 91
5 45 32
5 46 92
5 47 20
5 48 72
5 49 42
5 50 57
5 51 83
5 52 24
5 53 1
5 54 76
5 55 37
5 56 9
5 57 81
5 58 20
5 59 97
5 60 55
5 61 82
5 62 20
5 63 54
5 64 3
5 65 75
5 66 51
5 67 74
5 68 22
5 69 84
5 70 84
5 71 69
5 72 67
5 73 85
5 74 12
5 75 78
5 76 0
5 77 70
5 78 21
5 79 87
5 80 53
5 81 49
5 82 26
5 83 76
5 84 85
5 85 23
5 86 45
5 87 63
5 88 94
5 89 54
5 90 96
5 91 25
5 92 89
5 93 5
5 94 15
5 95 18
5 96 61
5 97 2
5 98 35
5 99 17
5 100 43
5 101 84
5 102 1
5 103 80
5 104 88
5 105 34
5 106 0
5 107 55
5 108 12
5 109 62
5 110 63
5 111 41
5 112 1
5 113 82
5 114 95
5 115 10
5 116 28
5 117 0
5 118 70
5 119 24
5 120 38
5 121 55
5 122 46
5 123 42
5 124 18
5 125 11
5 126 55
5 127 49
5 128 70
5 129 17
5 130 1
5 131 44
5 132 54
5 133 81
5 134 73
5 135 23
5 136 86
5 137 96
5 138 34
5 139 34
5 140 58
5 141 41
5 142 89
5 143 90
5 144 84
5 145 9
5 146 33
5 147 90
5 148 14
5 149 23
5 150 4
5 151 40
5 152 21
5 153 36
5 154 96
5 155 4
5 156 59
5 157 39
5 158 94
5 159 67
5 160 91
5 161 11
5 162 93
5 163 94
5 164 27
5 165 21
5 166 81
5 167 61
5 168 80
5 169 66
5 170 42
5 171 27
5 172 75
5 173 48
5 174 62
5 175 48
5 176 49
5 177 79
5 178 19
5 179 17
5 180 40
5 181 66
5 182 49
5 183 62
5 184 49
5 185 20
5 186 47
5 187 2
5 188 0
5 189 40
5 190 72
5 191 62
5 192 68
5 193 48
5 194 1
5 195 65
5 196 5
5 197 60
5 198 68
5 199 67
5 200 49
5 201 43
5 202 26
5 203 58
5 204 35
5 205 94
5 206 75
5 207 32
5 208 44
5 209 15
5 210 42
5 211 20
5 212 38
5 213 19
5 214 61
5 215 38
5 216 14
5 217 16
5 218 56
5 219 71
5 220 84
5 221 39
5 222 49
5 223 21
5 224 36
5 225 31
5 226 19
5 227 33
5 228 57
5 229 68
5 230 1
5 231 12
5 232 20
5 233 85
5 234 60
5 235 29
5 236 42
5 237 21
5 238 15
5 239 34
5 240 17
5 241 35
5 242 72
5 243 10
5 244 0
5 245 96
5 246 9
5 247 63
5 248 86
5 249 14
5 250 27
5 251 30
5 252 30
5 253 7
5 254 38
5 255 55
5 256 43
5 257 96
5 258 78
5 259 48
5 260 81
5 261 37
5 262 28
5 263 59
5 264 56
5 265 58
5 266 53
5 267 42
5 268 72
5 269 1
5 270 56
5 271 4
5 272 6
5 273 50
5 274 19
5 275 61
5 276 95
5 277 18
5 278 20
5 279 50
5 280 40
5 281 83
5 282 93
5 283 4
5 284 94
5 285 66
5 286 2
5 287 1
5 288 77
5 289 14
5 290 69
5 291 87
5 292 75
5 293 16
5 294 35
5 295 77
5 296 61
5 297 8
5 298 2
5 299 12
6 0 48
6 1 19
6 2 51
6 3 97
6 4 19
6 5 91
6 6 6
6 7 91
6 8 31
6 9 38
6 10 15
6 11 95
6 12 92
6 13 28
6 14 5
6 15 76
6 16 75
6 17 4
6 18 81
6 19 33
6 20 56
6 21 42
6 22 39
6 23 56
6 24 58
6 25 36
6 26 98
6 27 26
6 28 95
6 29 15
6 30 58
6 31 13
6 32 15
6 33 44
6 34 78
6 35 90
6 36 12
6 37 94
6 38 98
6 39 93
6 40 17
6 41 5
6 42 86
6 43 16
6 44 34
6 45 55
6 46 32
6 47 19
6 48 28
6 49 14
6 50 73
6 51 16
6 52 71
6 53 71
6 54 56
6 55 72
6 56 80
6 57 9
6 58 89
6 59 54
6 60 96
6 61 17
6 62 30
6 63 4
6 64 19
6 65 91
6 66 24
6 67 84
6 68 30
6 69 29
6 70 25
6 71 89
6 72 38
6 73 26
6 74 87
6 75 6
6 76 84
6 77 91
6 78 45
6 79 48
6 80 39
6 81 80
6 82 60
6 83 87
6 84 77
6 85 81
6 86 45
6 87 49
6 88 8
6 89 96
6 90 7
6 91 0
6 92 39
6 93 5
6 94 70
6 95 19
6 96 80
6 97 39
6 98 26
6 99 44
6 100 79
6 101 23
6 102 22
6 103 58
6 104 43
6 105 37
6 106 55
6 107 43
6 108 56
6 109 22
6 110 73
6 111 75
6 112 41
6 113 74
6 114 39
6 115 70
6 116 31
6 117 36
6 118 3
6 119 23
6 120 24
6 121 17
6 122 15
6 123 35
6 124 75
6 125 78
6 126 28
6 127 0
6 128 62
6 129 84
6 130 1
6 131 19
6 132 71
6 133 28
6 134 96
6 135 46
6 136 34
6 137 95
6 138 69
6 139 54
6 140 27
6 141 19
6 142 82
6 143 42
6 144 93
6 145 38
6 146 66
6 147 91
6 148 27
6 149 52
6 150 90
6 151 43
6 152 92
6 153 17
6 154 72
6 155 49
6 156 74
6 157 57
6 158 18
6 159 68
6 160 93
6 161 77
6 162 84
6 163 30
6 164 3
6 165 74
6 166 44
6 167 57
6 168 69
6 169 43
6 170 10
6 171 70
6 172 93
6 173 54
6 174 33
6 175 31
6 176 88
6 177 89
6 178 60
6 179 0
6 180 86
6 181 61
6 182 88
6 183 96
6 184 98
6 185 37
6 186 77
6 187 21
6 188 10
6 189 52
6 190 65
6 191 19
6 192 24
6 193 49
6 194 17
6 195 31
6 196 47
6 197 81
6 198 66
6 199 38
6 200 91
6 201 67
6 202 92
6 203 78
6 204 80
6 205 6
6 206 40
6 207 63
6 208 56
6 209 91
6 210 87
6 211 18
6 212 80
6 213 96
6 214 98
6 215 38
6 216 7
6 217 81
6 218 92
6 219 32
6 220 20
6 221 86
6 222 14
6 223 87
6 224 68
6 225 6
6 226 86
6 227 58
6 228 7
6 229 97
6 230 20
6 231 33
6 232 45
6 233 40
6 234 25
6 235 78
6 236 30
6 237 4
6 238 59
6 239 86
6 240 18
6 241 7
6 242 57
6 243 44
6 244 66
6 245 27
6 246 19
6 247 36
6 248 48
6 249 56
6 250 77
6 251 56
6 252 22
6 253 26
6 254 87
6 255 53
6 256 7
6 257 69
6 258 7
6 259 87
6 260 9
6 261 28
6 262 25
6 263 39
6 264 37
6 265 53
6 266 51
6 267 17
6 268 20
6 269 11
6 270 75
6 271 55
6 272 35
6 273 35
6 274 12
6 275 88
6 276 34
6 277 38
6 278 11
6 279 90
6 280 0
6 281 57
6 282 28
6 283 84
6 284 29
6 285 50
6 286 25
6 287 81
6 288 59
6 289 12
6 290 44
6 291 59
6 292 79
6 293 67
6 294 81
6 295 58
6 296 59
6 297 51
6 298 98
6 299 24
7 0 42
7 1 0
7 2 17
7 3 77
7 4 56
7 5 5
7 6 67
7 7 79
7 8 24
7 9 54
7 10 7
7 11 14
7 12 73
7 13 73
7 14 81
7 15 65
7 16 25
7 17 83
7 18 30
7 19 33
7 20 55
7 21 24
7 22 96
7 23 62
7 24 10
7 25 25
7 26 71
7 27 76
7 28 15
7 29 50
7 30 28
7 31 56
7 32 7
7 33 54
7 34 81
7 35 53
7 36 4
7 37 54
7 38 87
7 39 10
7 40 88
7 41 87
7 42 23
7 43 57
7 44 95
7 45 18
7 46 38
7 47 47
7 48 39
7 49 29
7 50 17
7 51 39
7 52 84
7 53 48
7 54 28
7 55 81
7 56 20
7 57 7
7 58 91
7 59 3
7 60 32
7 61 29
7 62 13
7 63 81
7 64 16
7 65 85
7 66 27
7 67 25
7 68 17
7 69 94
7 70 74
7 71 58
7 72 93
7 73 98
7 74 16
7 75 94
7 76 41
7 77 89
7 78 22
7 79 46
7 80 81
7 81 15
7 82 27
7 83 19
7 84 59
7 85 35
7 86 28
7 87 13
7 88 19
7 89 92
7 90 98
7 91 93
7 92 57
7 93 16
7 94 15
7 95 15
7 96 69
7 97 80
7 98 93
7 99 43
7 100 89
7 101 34
7 102 29
7 103 63
7 104 22
7 105 33
7 106 60
7 107 81
7 108 83
7 109 24
7 110 60
7 111 15
7 112 9
7 113 92
7 114 79
7 115 10
7 116 43
7 117 7
7 118 6
7 119 78
7 120 81
7 121 25
7 122 9
7 123 36
7 124 36
7 125 96
7 126 90
7 127 67
7 128 76
7 129 45
7 130 12
7 131 60
7 132 86
7 133 86
7 134 78
7 135 74
7 136 60
7 137 34
7 138 32
7 139 17
7 140 74
7 141 54
7 142 81
7 143 29
7 144 44
7 145 83
7 146 51
7 147 0
7 148 61
7 149 65
7 150 87
7 151 96
7 152 18
7 153 39
7 154 78
7 155 50
7 156 20
7 157 11
7 158 16
7 159 81
7 160 90
7 161 23
7 162 45
7 163 6
7 164 52
7 165 25
7 166 36
7 167 40
7 168 86
7 169 75
7 170 11
7 171 9
7 172 50
7 173 6
7 174 7
7 175 17
7 176 56
7 177 64
7 178 81
7 179 2
7 180 49
7 181 65
7 182 29
7 183 85
7 184 75
7 185 89
7 186 50
7 187 80
7 188 34
7 189 34
7 190 0
7 191 45
7 192 36
7 193 75
7 194 13
7 195 94
7 196 32
7 197 79
7 198 65
7 199 10
7 200 30
7 201 49
7 202 31
7 203 70
7 204 27
7 205 57
7 206 25
7 207 69
7 208 85
7 209 37
7 210 20
7 211 9
7 212 43
7 213 21
7 214 17
7 215 87
7 216 90
7 217 58
7 218 10
7 219 35
7 220 64
7 221 87
7 222 46
7 223 95
7 224 38
7 225 34
7 226 35
7 227 69
7 228 23
7 229 66
7 230 72
7 231 85
